"longitude","latitude","samples"
-122.334195316044,47.6010299667473,8827
-122.373558119812,47.6323895361565,22
-122.371732898638,47.6892491715054,1163
-122.371733703911,47.6857197882363,35
-122.426565414913,47.5724149406377,1270
-122.435903541778,47.6197568866829,1177
-122.333489983887,47.6702931022357,1416
-122.415189672742,47.6103527779811,24
-122.327984054399,47.640887243624,20
-122.38167421387,47.5445692425666,1408
-122.272554151146,47.6512479554523,1220
-122.409549537032,47.5929849072951,1397
-122.401544570638,47.6098798384126,1323
-122.393688916402,47.606372797729,24
-122.326984934038,47.5430227769564,98
-122.326984515251,47.5440749891572,677
-122.326984886839,47.5448931280371,24
-122.32698417934,47.5450891354865,47
-122.326984609436,47.5453191419885,40
-122.326984963022,47.5455880650672,47
-122.326985145887,47.5461556759558,25
-122.326986319963,47.5471114398729,32
-122.298701119425,47.6172281760407,28
-122.397229688951,47.593674321127,29
-122.306847610698,47.5667392300121,22
-122.306846701924,47.5694896005285,1103
-122.306828335675,47.575473832105,20
-122.324323639383,47.6234860520503,27
-122.283524283773,47.6608660274599,1370
-122.282758026949,47.6420842442443,23
-122.282758093657,47.6478140194806,27
-122.282759382873,47.6470936524955,25
-122.282759205805,47.6465744991345,34
-122.282759506729,47.6462202193164,49
-122.282759413198,47.6458782005843,23
-122.282758557393,47.6457050526463,40
-122.282758856533,47.6454164832446,36
-122.282759137929,47.6452214963447,47
-122.282758720368,47.6450335480902,74
-122.282759530199,47.6448953877323,20
-122.282758931634,47.6448152963763,79
-122.282759020875,47.6446528334941,94
-122.28275910137,47.644474453508,29
-122.282759233812,47.6443363904092,63
-122.28275935499,47.6441624524917,74
-122.282758399196,47.6439121904334,29
-122.282758710316,47.6437022792703,41
-122.292797987265,47.6371125981819,36
-122.320141499031,47.565194447033,1329
-122.331173120952,47.5698441125919,22
-122.325631033284,47.5854892306307,29
-122.367695643561,47.5949712752261,21
-122.374678810296,47.5937418925642,1446
-122.332352015572,47.5796889319525,26
-122.366105750521,47.5867824458228,20
-122.338932984452,47.5762876500379,21
-122.338933645237,47.5707562679589,35
-122.338934856892,47.5750760994967,39
-122.338934576276,47.5747158441634,23
-122.338934114052,47.5715217153254,38
-122.338933918144,47.5730489330289,1023
-122.311010877643,47.5871587161952,53
-122.310662485106,47.6198361728159,21
-122.310664403471,47.6252746119772,58
-122.3106664542,47.6249536686806,24
-122.310665163904,47.6246097857005,93
-122.310665248417,47.6242320863575,86
-122.310665203813,47.6240212551074,23
-122.310664835405,47.6239531831763,27
-122.310665537385,47.6237950201053,32
-122.310664773688,47.6237168988849,29
-122.310665601854,47.6236600512962,43
-122.310665063787,47.6235325197535,111
-122.310665753107,47.6233879943906,27
-122.310665297645,47.6233223147506,25
-122.310664876055,47.6231614687379,79
-122.310665648638,47.6228911789546,24
-122.310665525661,47.6227123436705,39
-122.31066574283,47.6225580866872,36
-122.310665745957,47.6218256104521,59
-122.316371739029,47.6184459990637,1525
-122.315826757376,47.6063622534474,37
-122.299374969587,47.5839659402982,21
-122.299375303255,47.5844224859722,42
-122.299375617886,47.5855429175822,980
-122.29937592966,47.5867511838906,29
-122.299376420372,47.5870415071855,23
-122.299376139978,47.5873847707789,21
-122.299374894364,47.5879493258099,23
-122.302821969608,47.6030540670776,1215
-122.304814436582,47.6098037757586,25
-122.304816545834,47.6078798925934,1007
-122.304816631949,47.6057996933348,29
-122.304817215454,47.6052816851203,23
-122.317922021314,47.5885175516403,37
-122.317921463967,47.5906623892926,52
-122.317921020566,47.5911709747571,31
-122.317921118921,47.5913599521057,43
-122.317920939409,47.5916947683853,88
-122.317919921449,47.5918577665111,22
-122.317919919065,47.591977997114,64
-122.317920757074,47.5921703136745,80
-122.317920634506,47.5923055064416,39
-122.317920683822,47.5924643921708,43
-122.317921193585,47.5926152942431,46
-122.317920280556,47.5927396350027,43
-122.31792073895,47.5929784740609,41
-122.317920072746,47.5934509929972,56
-122.317920384542,47.5938613951199,21
-122.353187688282,47.5631972963525,21
-122.353185431874,47.5660748856194,31
-122.353186208732,47.5663110377374,55
-122.353184939478,47.5666071797124,44
-122.353186134546,47.5667664777563,45
-122.353185095615,47.5668877766742,47
-122.353185829048,47.567035936411,57
-122.353185514661,47.5671839859635,79
-122.353186164166,47.5673851766485,61
-122.353185686883,47.5674722377651,28
-122.353186315354,47.5675410270747,26
-122.353185433735,47.5676350575758,51
-122.353185771101,47.5677671761458,75
-122.353184913749,47.5679226689898,41
-122.353185192334,47.5680522677665,26
-122.353185838754,47.5681738252955,39
-122.353185487828,47.5684340030624,56
-122.353185192249,47.5690805384298,64
-122.353184718138,47.570847959384,20
-122.352797383584,47.5811367707919,28
-122.358594608066,47.5820383956089,1051
-122.358594777798,47.5843620189484,48
-122.35214157291,47.6036216496703,34
-122.352143174542,47.6032293605201,23
-122.352143197791,47.6029789743368,70
-122.352143656778,47.602693058075,30
-122.352142792621,47.6025756805707,36
-122.352143491585,47.6024523347923,20
-122.352143035889,47.6022671563897,110
-122.352143039105,47.602137319337,22
-122.352143088513,47.6019935292096,72
-122.352142982192,47.6018606053104,36
-122.352142726607,47.6017073967416,29
-122.352143266762,47.6013446456854,112
-122.352142750545,47.6011154069267,31
-122.352142350715,47.6009811101016,27
-122.352142596357,47.6007731459034,40
-122.352143759375,47.5998824051572,25
-122.3508201308,47.6000509420266,25
-122.350821187169,47.5995731237477,25
-122.350822411616,47.5993029792067,34
-122.350822253656,47.598897318796,40
-122.350823161857,47.5986782896005,36
-122.350822863177,47.5978085734042,723
-122.350822427734,47.5966414670868,64
-122.343697153981,47.5967767748538,97
-122.336460889902,47.5915015858135,22
-122.326767639996,47.5942315007929,41
-122.324947112955,47.6048245003639,39
-122.333132427706,47.6077838209093,21
