"longitude","latitude","samples","rank"
-122.347921971617,47.6073524683481,3108,1
-122.313563040586,47.6209573167575,3030,2
-122.351501347018,47.5998326538636,2662,3
-122.303852857897,47.6053685677629,2528,4
-122.33892909138,47.5730264352067,1428,5
-122.374717673253,47.5937532235094,1417,6
-122.299377604472,47.585545274446,1407,7
-122.381754704168,47.5444924289899,1388,8
-122.409555367577,47.5929735151616,1387,9
-122.333502625939,47.6704447696933,1382,10
-122.35318430712,47.5672826305083,1376,11
-122.283526448517,47.6608951868631,1360,12
-122.282763049042,47.6449021427268,1345,13
-122.401527463824,47.6099000179277,1313,14
-122.317914535868,47.5920639358454,1284,15
-122.326981776345,47.5443150073654,1283,16
-122.320143455721,47.5648888630233,1256,17
-122.306849651349,47.5696297328078,1246,18
-122.426741807226,47.5723242600779,1239,19
-122.371732957128,47.689078744588,1233,20
-122.358566003615,47.5821965149739,1217,21
-122.272531024514,47.6512516020511,1208,22
-122.435905782069,47.6197650999859,1175,23
-122.352735847855,47.5806693813654,41,24
-122.310764005873,47.5892887651079,36,25
-122.326156238328,47.5942205999902,34,26
-122.341222923835,47.5979528801141,25,27
-122.345119863621,47.5893783163804,25,28
-122.317728761813,47.6058971315602,24,29
-122.309825476195,47.6045355454802,24,30
